"id";"city_name";"latitude";"longitude";"photo";"nb_visited";"last_visited";"country_name";"user_id"
29;"vinales";"22.616537";"-83.709023";"_1612778234076.JPG";1;2018;"cuba";3
30;"new york";"40.7127281";"-74.0060152";"_1612778270391.JPG";3;2013;"etats unis";3
31;"bucarest";"44.4361414";"26.1027202";"_1612778318990.jpeg";2;2019;"roumanie";3
32;"belgrade";"44.8178131";"20.4568974";"_1612778382806.JPG";2;2011;"serbie";3
33;"barcelone";"41.3828939";"2.1774322";"_1612778413304.JPG";1;2009;"espagne";3
34;"valence";"39.4697065";"-0.3763353";"_1612778557830.JPG";1;2013;"espagne";3
35;"dublin";"53.3497645";"-6.2602732";"_1612778579961.JPG";1;2018;"irelande";3
36;"vienne";"48.2083537";"16.3725042";"_1612778633084.JPG";1;2011;"autriche";3
37;"rome";"41.8933203";"12.4829321";"_1612779031092.JPG";1;2014;"italie";3
38;"marrakesh";"31.6258257";"-7.9891608";"_1612779063145.JPG";2;2015;"maroc";3
39;"miami";"25.7741728";"-80.19362";"_1612779105050.JPG";2;2018;"etats unis";3
40;"las palmas";"28.128874";"-15.4349448";"_1612779157553.JPG";1;2012;"iles canaries";3
41;"vilnius";"54.6870458";"25.2829111";"_1612779226952.JPG";1;2011;"lithuanie";3
42;"exmouth";"-22.292471550000002";"114.1469586328106";"_1612779568544.JPG";1;2012;"australie";3
43;"milford sound";"-44.67184";"167.9254592";"_1612780371615.JPG";1;2013;"nouvelle zelande";3
44;"las vegas";"36.1672559";"-115.1485163";"_1612780415105.JPG";1;2005;"etats unis";3
45;"kuala lumpur";"3.1516964";"101.6942371";"_1612814306634.JPG";1;2012;"malaisie";3
